"answer","word_count"
"Andhra Pradesh's main food item is rice and it's usually followed by sambar or the other gravy and vegetable varieties. Andhra meal is incomplete without mouth-watering cuisines, pickles, papadams and chutney. Andhra Biryani is that the most special dish in Andhra. Combining ingredients with meat is delicious and it's mixed with rice and served as a super-hot to face in their own taste.Nandhana Palace aims to supply the normal Andhra style foods without reducing the purpose of the first taste. Nandhana is obtainable to deliver the orders to your doors once you LINKED_TEXT: Order Andhra food online. URL:  .","111"
"LOL - this question is like asking whose mum makes the better chappati  curry  chicken. Pakistani are going to say - Pakistan is better. Bangladeshi will say Bangladesh is better. Tourists gives their views according to the welcome, climate, food, health upset stomachs, folks, locations etc they visited throughout their time. I am sure both countries have a great deal to provide visitors and therefore are wonderful in their own personal rights. If however, by publishing this question you might be simply fishing for a particular answer or hoping for vitriol and mudslinging, be honest and say so.","111"
"As you would be knowing LINKED_TEXT: EC-Council URL:  is the curator of LINKED_TEXT: CEH URL:  EC-Council website has comprehensive resources to learn ethical hacking starting with its training courses. You can purchase the necessary courseware and youre ready to start. Certified Ethical Hacker helps you to master the Core Technologies of Ethical Hacking. You can also enroll into Certified Network Defender course LINKED_TEXT: CND URL:  , which will help you to protect the network during cyber attacks. Organizations must have, as part of their defense mechanisms, trained network engineers who are focused on protecting, detecting, and responding to the threats on their networks.","118"
"This is the advice my father gave me - Instead of putting others down, try improving yourself instead. The only person you have a right to compete with is you. In the meantime, treat others how you'd like to be treated. One trait that some of the best communicators share is empathy. A couple of kind words cannot only make a person's day but earn you a friend and supporter for life. For the rest of the week, whenever you see someone you want to judge negatively, pay them a compliment instead. See what happens.","109"
"To a significant extend , yes, especially the landings, pilots have to constantly practice to nail the glide slope and know exactly when to flare. Take off are not automated as far as I know but can be. The climb out and descend with the auto pilot, no one missed anything, for it is generally straight and level flying and even terrorists proved that with minimal skills, they can fly the planes, I rather the pilot use their time on other things than the mundane task of flying the plane, such as routing, weather avoidance, monitoring etc.","109"
"It was the Burckle Crater impact in the Indian Ocean, this would have caused a Mega Tsunami to hit and channel up Mesopotamia, where it was recorded as Mountain High in the Biblical Texts, the rest of the world surely would have had extreme flooding from the climate changes, but no it is impossible for the WHOLE EARTH to be flooded that high, from my understanding also, Yahweh in Genesis never actually says the whole world was flooded to the mountains, again it is just a poorly translated message like so many which they teach in the New Testament.","107"
"No faster, the limits are aerodynamic. At Mach 3.2, the intake spikes are in their highest speed configuration. Above Mach 3.3, your start to get damage to the intakes. A little above Mach 3.4, you have a feeling that something is going to go wrong aerodynamic stability wise as the test pilot cited in another answer said about his top speed run, and because the intakes cannot be adjusted for higher speed, he experienced a dual unstart, where the shock wave is no longer captured by the inlet, and power drops dramatically. So, redesign the intakes, and see what happens? ;-","118"
"It doesnt happen very often but when it does- its a real problem. If the grout is tight against the pipe coming out of the wall it helps to hold the pipe solid and take strain away from the shower connector in the wall. The problems occur when that connector takes all the strain and a pinhole leak starts spewing water into the wall cavity behind the tiles. Then eventually the entire wall is ruined, rotted out, and the shower needs a 8,000 plus gut out and rebuild. Probably more. So finding a better way to hang all your essential shower supplies is a better idea.","114"
"I have taken part in many online auctions. They are conducted on the website, and the registered users on the site can buy and sell goods to the other users. They have become the most used pages on the internet and are used to buy and sell anything you might have imagined. LINKED_TEXT: Auction List URL:  a listing site where you can find all the auctions taking place in the US. But there are many other sites popular as well. I have visited these sites and purchased many items I have needed. But to find the auctions, Ill suggest using the listing site first!","115"
"We are not friends but not even enemies, not yet!Quora is too good for gaining knowledge but so poor in chatting.Quora is an upcoming Instagram. You should do something about it.Follow for follow this offer only available for you.Thanks for this beautiful feature: suggestions and edits.Please don't collapse my answers because the last bencher never follows the rule.One day I would have more followers than yours.Now tell me, how's my attitude? ;Last message for you, CEO sir: Have a great day.Repeating again: Thank you! Venom!","100"
"The US government did not decide. To the extent the decision was made it was made in Anglo-Saxon England during the centuries before the Norman invasion. The first official government recognition of the right, the first official restriction imposed on government that I am aware of was the English Bill of Rights of 1689, 100 years before the U.S. Constitution was ratified to establish the US government. Part of the recognition that the right was important was the realization that governments are the greatest threat to human rights but the primary reason was that even the most benevolent government is not always present when individuals need protection.","113"
"At the age of 17,one is studying in her XI-XII STD,So I would Suggest her to: 1.Firstly get a good College by scoring reasonable marks in boardCompetitive Exam's to avoid any problems in ur future Carrer 2.Make Some wise  Good Friends whom u can really on 3.Don't attach yourself with anyone. 4.Enjoy ur life,make trips. 5.learn from everyone to improve your Self daily. 6.Start doing Yoga to maintain your physical Standard's 7.Understand ur family,spend quality with your Parents.take the responsibility of home,if needed. 8 .Always follow ur inner Instincts 9.Develop a hobby  nourish yourself 10. Be Natural","116"
"Generally, he thought of Islam better than he did of Christianity. Nietzsche, it seems, was not very much interested in Islam to the extent of doing in-depth studies in it, and when mentioning it, it was mostly in a rhetorical way. Arguably, he thought Islam was more practical than Christianity, which he thought negates life and is a religion of pity. I think that what he meant is that Islam is a powerful religion that deals with life in harshness rather than the presumed lovely nature of the Church which, in practice, very much was never the case.","111"
"Sort of. Not all silencers are equal and the ammunition you use is also critical. Subsonic ammunition is the key. The silence quality and design is important as well Dry silencers are louder as opposed to wet. Dry is a silencer suppressor without any type of media inside this can range from water to gels or other baffling material like steel wool or the like. The idea is to trap more gases and deaden the sound this lowers the overall effect 10 db or so. Since there are so many factors it's hard to nail down the exact combination because there are so many variations.","113"
"Mr Page, you're a troll, and an obvious troll at that. There are countless real issues that need resolution on this planet, many of which are pretty polarizing all on their own. Using lies to stir the pot only polarizes us further. Can't you find HONEST questions, ones that spur the reader to actually thinking about the issue, rather than provoking knee-jerk reactions? Of course, this presumption that you want to spur resolution to the issues you post troll questions about may well be false. In that case, go back under the bridge so we can ignore you.","113"
"Noon is generally considered to be the exact moment when the clock strikes 12:00 pm, which marks the middle of the day. It is neither 12:00-12:01 nor 12:00-1:00, but specifically the moment when the clock strikes 12:00 pm. However, in everyday usage, the term ""noon"" can also refer to the time period around 12:00 pm, usually ranging from around 11:45 am to 12:15 pm, depending on context and personal interpretation. This time period is often referred to as ""around noon"" or ""close to noon"".","100"
"MIT students have a very interesting method of cheating. It is called studying. They actually take notes in class, read all material assigned and maybe even related material that is not assigned. They listen to the professors carefully in class and try to anticipate the type of question that will be asked on a test and they accumulate as much relevant information the can use to answer test question. It is a very effective method of cheating sometimes referred to as learning the material. It is so effective that occasionally class average on a test is over 50 - although it is often a bit lower than that.","115"
"It is possible that there may be a technical issue with the Google Maps satellite view on Microsoft Edge, which could be preventing it from functioning properly. Alternatively, it could be a compatibility issue between the Google Maps platform and the Microsoft Edge browser. It is recommended to try using a different browser, such as Google Chrome or Mozilla Firefox, to see if the issue persists. If the issue persists across multiple browsers, it may be worth contacting the technical support teams of both Google and Microsoft to see if they can provide any assistance or insight into the issue.","109"
"One of the shrewdest, smartest moves I've ever seen in business is a company that switched from selling its products through direct mail to online sales. This change not only increased website traffic by 400, but it also decreased customer support costs because there was no need for postage and packaging. Furthermore, this strategy helped the company reduce its marketing budget by 80. By making these changes, the company was able to increase revenue and profits while reducing waste or excess inventory and maintenance costs. In short, embracing online sales can be one of the smartest decisions you make when it comes to running your business!","117"
"Irrespective from where you take your training from, after CPL, you have to do Type rating for every aircraft that you wish to fly. Irrespective of whichever aircraft you wish to fly, you will have to your type rating for that aircraft. Its only after your Type Rating, you can endorse that specific aircraft on your license and start flying. If a pilot has lot of experience, then he might need a bridge course or a differential course wherein they are taught about the new and different features of the new aircraft.","101"
"This is a system of equations: mathbegincases x  y  2  x2  y2  2 endcasesmath EDIT: Something felt wrong about how I originally solved this, so here's my correction Let's solve for a variable in the simplest equation: mathx  y  2math mathy  2 - xmath Next, plug that into the other equation: mathx2  2 - x2  2math Now, simplify and solve for x: mathx2  4 - 4x  x2  2math math2x2 - 4x  2  0math math2x2 - 2x  1  0math math2x - 1x - 1  0math math2x - 12  0math mathx - 1  0math mathx  1math Now, plug this back into either equation: math1  y  2math mathy  1math","118"
"Well TO Be Brutally Honest, Cardio Is The Key And Exercising all the muscles of your face 5 mins a day would do it.. Drink Plenty Of WaterKeep Exercising Your Jaw Using Gum Or A Rubber ExerciserControl Sodium IntakeDon't Look For more answers Just Start Today And Never Stop Let me show you My History  Honestly So Excited To Write This This Is Me In Mid 2022113kgs This Is Me Now89kgs Feeling So Happy all In a year  And Now I Have Started Gym So Hope I will improve This Is Just The Improved Pic Cause I'm Still Working Towards It","105"
"Stock markets have not crashed suddenly, they have been on the decline since a year or so due to the build up of the excess euphoria of Narendra Modi The superman PM. Markets went crazy and now they are giving up the gains. When combined with the world equity markets which have corrected, the effect has accelerated on the downside. Practically, this is what has happened. To add to the damage, Q3 results have been mediocre signalling that the economy that the world expected to pick up has actually not. Hope this helps. Co-Founder  CEO, LINKED_TEXT: Fyers  Your Next-Generation Online Stockbroker URL:","115"
"Multiple sources, then find the actual facts. The problem with media today is that it tries to influence your view rather then report factual information. Things will be said in such a way to influence your mind instead of strictly speaking the facts. Watch FOX and MSNBC and try to sort the bullish!! out. You need multiple sources to find out the truth, remember the media is in it to make money, whats sells papers is division, so the media benefits from making us more divided and catering to the extremes of most parties","104"
"Now more than ever an app is essential to your business. Build yours, solution-free apps. fixed price and delivery date before you start. LINKED_TEXT: find my car URL:  Book your free demo, below. You dont need any technical skill to build your app. Our specialist for each part of your build. We offer 50 off on all mobile app development solutions. Check with any of the service provider about our cost and quality services. We want to be a part of great service to the global business owners during this Covid pandemic and reduce the cost of their operation and products via our app solution.","118"
"Nuclear deterence works when both sides understand that both sides lose in a nuclear war. Putin can threaten all that he wants. If he triggers a nuclear war, Russia will be as destroyed as any other place on earth. But, there is more to this. Right now, the West is painting Putin as a poor leader. If Putin uses nukes against a country that has 0 nukes, then he shows the world that he is a poor leader and most of his supporters will leave him Once that happens, the West has won the game.","106"
"Noooooooooo! Never, according to me. I have read it and regret reading it. Why? I have mentioned this thing in few answers but i will mention it again. Chetan Bhagat uses a lot of abusive language in his books which is the biggest reason i hate him. I mean just why is he encouraging the use of such language. Also the story of the book is not good. I will not recommend this book to anyone. Now its your wish if you want to read it but i will say no'.","103"
"Online editing , try now , simple editing Normal and simple photo editing In today's digital world, photos play a crucial role in our lives. With the increasing popularity of social media platforms, everyone wants to showcase their best pictures to the world. However, not everyone has the budget or the skills to use expensive photo editing tools. That's where normal photo editor tools come in handy. These free tools are perfect for anyone who wants to enhance their photos without breaking the bank.  Go now LINKED_TEXT:  URL:  way, radhey Shyam","104"
"She must have some pretty weird bathroom experiences. Or maybe she is just spewing inflammatory bullshit to divide the plebs into different camps on a non topic. Instead of talking about how your government is screwing you over, you keep accepting the fake threat of your fellow human being who is slightly different than you: whites vs. blacks, men against women, immigrants vs. citizens etc Keep talking about all this non sense and perceiving others as foes. In the meantime, the thieves in charge are living lavishly on the work you are doing while you get less and less out of it. Good job!","114"
"I think anything that wastes food is abuse of the all you can eat rules. The worst is stashing food to take home though. I was invited to a seafood buffet restaurant by a neighbor. Her daughter and grandkids also went. They had zip lock bags in their purses, filled them with crab legs and shrimp. I was so embarrassed. She must have noticed I was uncomfortable and said she does it all the time, no one has kicked them out yet. She has asked me to join her again several times over the years, I just cant go, I consider what they did stealing.","117"
"The good thing u can do is to view my answer...the better thing is to upvote this and the best one is to share......lol just kidding.. Be crazy and crack a good joke before u die, make someone smile and don't forget to keep that smile on ur face when that death is infront of u......I heard somewhere that while dying if u smile at your last breath then ull surely go to heaven.....I think atleast if this works we can grab an entry to heaven through it....","100"
"I found and got lucky with a professional and reliable hacker on quora and he is good and fast, did the job I gave him so well so I feel obliqued to recommend him here Wondering why people are looking for a reliable and professional hacker His many services includes: Intercepting and Retrieving Instant Messages on Whatsapp, Facebook, Gmail, Viber, Kik, Skype, Hangouts, textplus Upgrading of credit score, loading funds on your Credit and Debit cards GPS location Tracking, Call Logs Retrieval  Incoming calls restriction. Remotely accessing SMS Contact lanhacker007 gmail Reliable and fast.","107"
"First and foremost, know what it looks like! Then, know WHERE to watch for it. Poison Ivy likes to grow in the margin between shaded areas and sunlight. Sometimes the vines extend further into shade, but usually this is the place where youll encounter it. If you must hike through areas with lots of it, youll want long sleeves and long pants. Also, take a very warm shower and wash your arms, hands, legs well as soon as you return home. I live in an area with tons of Poison Ivy, and Ive rarely had a problem when I follow these rules. Good luck!","120"
"The movie scenes will be in a rush. no proper explanation is shown. i think lot of scenes were edited. even though film is slow, scenes will be hurried. characters shown can be given some more screen time. sushants acting was gooda bit overacting in some scenes. heroine has also done good job. 55 for last 20 mins of the film. its very emotional. 2.5 for rest of the film. honestly speaking if ssh is alive, lot of people will say movie was boring, flop etc.. now because no more people saying wah! what a movie, movie made me cry etc clear hypocrisy","119"
"Huge Spoilers ahead! Proceed at your own risk! I would nominate Gangs of Wasseypur 2 The picture sums it up. The way he kills Ramadhir Singh taking revenge for his grandfather, father, mother and brother's deaths brutal. Nawazuddin is absolutely spectacular in delivering the emotions. Especially the cold look of revenge on his face while he massacres Ramadhir is chilling. And also after that Faizal is killed by Definite. That sums up perfectly, since Faizal was tired of doing what he was doing and Definite wanted get his position. Every character got a rightful closure at the end.","111"
"These three titles differentiate between the different concentration of oils in the fragrance. Eau de toilette is the most common, and most of what men call ""cologne"" is actually eau de toilette. The concentration breakdown is roughlyCologne  5Eau de Toilette  10Perfume  15 Some manufacturers have the same fragrance as an Eau de Toilette and a perfume. For example LINKED_TEXT: miss dior URL:  by LINKED_TEXT: christian dior URL:  comes in Eau de Toilette LINKED_TEXT: MISS DIOR 100ml EDT SP URL:  form and an Eau de parfum form LINKED_TEXT: MISS DIOR 100ml EDP SP URL:  Hope this answers your question.","113"
"Losing photos seems a common thing in the life, so it is necessary for you to recover all your deleted photos from your Samsung Galaxy phone. If you choose a right tool to help you, it will become more convenient to retrieve the deleted photos. So I recommend a powerful software for you to try, it is LINKED_TEXT: MobiKin Doctor for Android URL:  then you can recover all the lost files in a quick time. 2 steps for you to recover deleted photos. After installing the tool, connecting the phone to computer by USB cable.Click the Photos file and mark the ones to recover on phone.","117"
"The worst faking I ever saw was when a prisoner could not get out of jail for pain after multiple fake illnesses to earn his chance at freedom. One one day, he could not get a ride to the doctor, so he took a fork from the cafeteria and dug a hole through his flesh and all the way into his abdominal cavity. A FORK!!! Yes, you heard correctly. So, because nobody believed his fakery, he took a fork and dug a hole right into his intestines. NOW can I go to the doctor? Ummm.okay. Right after the surgery, he went to the psychiatrist.","120"
"Based on that study, solar PV works out to about 50g of CO2 per kWh compared to coal's 975g of CO2 per kWh, or about 20x ""cleaner."" Coal power plants in the U.S. are considerably less regulated and therefore less efficient than their European counterparts, making them more carbon-intensive. Associated with Pollution Although pollution related to solar energy systems is far less compared to other sources of energy, solar energy can be associated with pollution. Transportation and installation of solar systems have been associated with the emission of greenhouse gases. Go to my Profile and you can find all about Solar Panel material there...","116"
"Porosity is the biggest difference when comparing granite and marble. In simple words, marble stones are considered to be much softer and porous as opposed to granite. However, there are a few exceptions like the marbles from Danby and VT. A granite, on the other hand, is an igneous rock, which means it was once molten and is now formed due to cooling, deep within the earth. If you have any questions about any property or the topics around real estate, Id recommend heading over to LINKED_TEXT: Propertygeek URL:  they are an all-in-one website with everything and more.","111"
"A2A. Depends on what it is that you do. Are you a developer? Then DevOps certs are your focus. Systems admin or networking?  SysOps are for you. There are a few specialty certifications, but they are mostly relevant if you plan on focusing on that particular field in your work. This link explains the relationships between certifications: LINKED_TEXT: AWS Certification - AWS Cloud Computing Certification Program URL:  My suggestion would be to start with the Solutions Architect associate, regardless of the course you pursue in your career, as that gives you a pretty good overview of how the services work together.","115"
"Are you aware when youre feeling emotional and do you also experience these emotions in your body 4, or do you rarely feel emotional in real time, but may process what youre feeling later? 5 Are you tuned into how others are reacting to you 4, or do you not pay much attention to the responses of others, and if you perceive someone is upset with you, are you able to let it go fairly easily? 5 What do you trust more, your feelings 4 or your mind 5? Paraphrased differentiation questions from the book, The Art of Typing.","110"
